IdCliente,CodigoCliente,NombreCliente,ApellidoCliente,DireccionCliente,CiudadCliente,PaisCliente
1,CLI1,Cliente 1,Apellido 1,Direccion 1,Ciudad 2,Pais 2
2,CLI2,Cliente 2,Apellido 2,Direccion 2,Ciudad 3,Pais 3
3,CLI3,Cliente 3,Apellido 3,Direccion 3,Ciudad 4,Pais 4
4,CLI4,Cliente 4,Apellido 4,Direccion 4,Ciudad 5,Pais 5
5,CLI5,Cliente 5,Apellido 5,Direccion 5,Ciudad 6,Pais 1
6,CLI6,Cliente 6,Apellido 6,Direccion 6,Ciudad 7,Pais 2
7,CLI7,Cliente 7,Apellido 7,Direccion 7,Ciudad 8,Pais 3
8,CLI8,Cliente 8,Apellido 8,Direccion 8,Ciudad 9,Pais 4
9,CLI9,Cliente 9,Apellido 9,Direccion 9,Ciudad 10,Pais 5
10,CLI10,Cliente 10,Apellido 10,Direccion 10,Ciudad 1,Pais 1
11,CLI11,Cliente 11,Apellido 11,Direccion 11,Ciudad 2,Pais 2
12,CLI12,Cliente 12,Apellido 12,Direccion 12,Ciudad 3,Pais 3
13,CLI13,Cliente 13,Apellido 13,Direccion 13,Ciudad 4,Pais 4
14,CLI14,Cliente 14,Apellido 14,Direccion 14,Ciudad 5,Pais 5
15,CLI15,Cliente 15,Apellido 15,Direccion 15,Ciudad 6,Pais 1
16,CLI16,Cliente 16,Apellido 16,Direccion 16,Ciudad 7,Pais 2
17,CLI17,Cliente 17,Apellido 17,Direccion 17,Ciudad 8,Pais 3
18,CLI18,Cliente 18,Apellido 18,Direccion 18,Ciudad 9,Pais 4
19,CLI19,Cliente 19,Apellido 19,Direccion 19,Ciudad 10,Pais 5
20,CLI20,Cliente 20,Apellido 20,Direccion 20,Ciudad 1,Pais 1
21,CLI21,Cliente 21,Apellido 21,Direccion 21,Ciudad 2,Pais 2
22,CLI22,Cliente 22,Apellido 22,Direccion 22,Ciudad 3,Pais 3
23,CLI23,Cliente 23,Apellido 23,Direccion 23,Ciudad 4,Pais 4
24,CLI24,Cliente 24,Apellido 24,Direccion 24,Ciudad 5,Pais 5
25,CLI25,Cliente 25,Apellido 25,Direccion 25,Ciudad 6,Pais 1
26,CLI26,Cliente 26,Apellido 26,Direccion 26,Ciudad 7,Pais 2
27,CLI27,Cliente 27,Apellido 27,Direccion 27,Ciudad 8,Pais 3
28,CLI28,Cliente 28,Apellido 28,Direccion 28,Ciudad 9,Pais 4
29,CLI29,Cliente 29,Apellido 29,Direccion 29,Ciudad 10,Pais 5
30,CLI30,Cliente 30,Apellido 30,Direccion 30,Ciudad 1,Pais 1
31,CLI31,Cliente 31,Apellido 31,Direccion 31,Ciudad 2,Pais 2
32,CLI32,Cliente 32,Apellido 32,Direccion 32,Ciudad 3,Pais 3
33,CLI33,Cliente 33,Apellido 33,Direccion 33,Ciudad 4,Pais 4
34,CLI34,Cliente 34,Apellido 34,Direccion 34,Ciudad 5,Pais 5
35,CLI35,Cliente 35,Apellido 35,Direccion 35,Ciudad 6,Pais 1
36,CLI36,Cliente 36,Apellido 36,Direccion 36,Ciudad 7,Pais 2
37,CLI37,Cliente 37,Apellido 37,Direccion 37,Ciudad 8,Pais 3
38,CLI38,Cliente 38,Apellido 38,Direccion 38,Ciudad 9,Pais 4
39,CLI39,Cliente 39,Apellido 39,Direccion 39,Ciudad 10,Pais 5
40,CLI40,Cliente 40,Apellido 40,Direccion 40,Ciudad 1,Pais 1
41,CLI41,Cliente 41,Apellido 41,Direccion 41,Ciudad 2,Pais 2
42,CLI42,Cliente 42,Apellido 42,Direccion 42,Ciudad 3,Pais 3
43,CLI43,Cliente 43,Apellido 43,Direccion 43,Ciudad 4,Pais 4
44,CLI44,Cliente 44,Apellido 44,Direccion 44,Ciudad 5,Pais 5
45,CLI45,Cliente 45,Apellido 45,Direccion 45,Ciudad 6,Pais 1
46,CLI46,Cliente 46,Apellido 46,Direccion 46,Ciudad 7,Pais 2
47,CLI47,Cliente 47,Apellido 47,Direccion 47,Ciudad 8,Pais 3
48,CLI48,Cliente 48,Apellido 48,Direccion 48,Ciudad 9,Pais 4
49,CLI49,Cliente 49,Apellido 49,Direccion 49,Ciudad 10,Pais 5
50,CLI50,Cliente 50,Apellido 50,Direccion 50,Ciudad 1,Pais 1
51,CLI51,Cliente 51,Apellido 51,Direccion 51,Ciudad 2,Pais 2
52,CLI52,Cliente 52,Apellido 52,Direccion 52,Ciudad 3,Pais 3
53,CLI53,Cliente 53,Apellido 53,Direccion 53,Ciudad 4,Pais 4
54,CLI54,Cliente 54,Apellido 54,Direccion 54,Ciudad 5,Pais 5
55,CLI55,Cliente 55,Apellido 55,Direccion 55,Ciudad 6,Pais 1
56,CLI56,Cliente 56,Apellido 56,Direccion 56,Ciudad 7,Pais 2
57,CLI57,Cliente 57,Apellido 57,Direccion 57,Ciudad 8,Pais 3
58,CLI58,Cliente 58,Apellido 58,Direccion 58,Ciudad 9,Pais 4
59,CLI59,Cliente 59,Apellido 59,Direccion 59,Ciudad 10,Pais 5
60,CLI60,Cliente 60,Apellido 60,Direccion 60,Ciudad 1,Pais 1
61,CLI61,Cliente 61,Apellido 61,Direccion 61,Ciudad 2,Pais 2
62,CLI62,Cliente 62,Apellido 62,Direccion 62,Ciudad 3,Pais 3
63,CLI63,Cliente 63,Apellido 63,Direccion 63,Ciudad 4,Pais 4
64,CLI64,Cliente 64,Apellido 64,Direccion 64,Ciudad 5,Pais 5
65,CLI65,Cliente 65,Apellido 65,Direccion 65,Ciudad 6,Pais 1
66,CLI66,Cliente 66,Apellido 66,Direccion 66,Ciudad 7,Pais 2
67,CLI67,Cliente 67,Apellido 67,Direccion 67,Ciudad 8,Pais 3
68,CLI68,Cliente 68,Apellido 68,Direccion 68,Ciudad 9,Pais 4
69,CLI69,Cliente 69,Apellido 69,Direccion 69,Ciudad 10,Pais 5
70,CLI70,Cliente 70,Apellido 70,Direccion 70,Ciudad 1,Pais 1
71,CLI71,Cliente 71,Apellido 71,Direccion 71,Ciudad 2,Pais 2
72,CLI72,Cliente 72,Apellido 72,Direccion 72,Ciudad 3,Pais 3
73,CLI73,Cliente 73,Apellido 73,Direccion 73,Ciudad 4,Pais 4
74,CLI74,Cliente 74,Apellido 74,Direccion 74,Ciudad 5,Pais 5
75,CLI75,Cliente 75,Apellido 75,Direccion 75,Ciudad 6,Pais 1
76,CLI76,Cliente 76,Apellido 76,Direccion 76,Ciudad 7,Pais 2
77,CLI77,Cliente 77,Apellido 77,Direccion 77,Ciudad 8,Pais 3
78,CLI78,Cliente 78,Apellido 78,Direccion 78,Ciudad 9,Pais 4
79,CLI79,Cliente 79,Apellido 79,Direccion 79,Ciudad 10,Pais 5
80,CLI80,Cliente 80,Apellido 80,Direccion 80,Ciudad 1,Pais 1
81,CLI81,Cliente 81,Apellido 81,Direccion 81,Ciudad 2,Pais 2
82,CLI82,Cliente 82,Apellido 82,Direccion 82,Ciudad 3,Pais 3
83,CLI83,Cliente 83,Apellido 83,Direccion 83,Ciudad 4,Pais 4
84,CLI84,Cliente 84,Apellido 84,Direccion 84,Ciudad 5,Pais 5
85,CLI85,Cliente 85,Apellido 85,Direccion 85,Ciudad 6,Pais 1
86,CLI86,Cliente 86,Apellido 86,Direccion 86,Ciudad 7,Pais 2
87,CLI87,Cliente 87,Apellido 87,Direccion 87,Ciudad 8,Pais 3
88,CLI88,Cliente 88,Apellido 88,Direccion 88,Ciudad 9,Pais 4
89,CLI89,Cliente 89,Apellido 89,Direccion 89,Ciudad 10,Pais 5
90,CLI90,Cliente 90,Apellido 90,Direccion 90,Ciudad 1,Pais 1
91,CLI91,Cliente 91,Apellido 91,Direccion 91,Ciudad 2,Pais 2
92,CLI92,Cliente 92,Apellido 92,Direccion 92,Ciudad 3,Pais 3
93,CLI93,Cliente 93,Apellido 93,Direccion 93,Ciudad 4,Pais 4
94,CLI94,Cliente 94,Apellido 94,Direccion 94,Ciudad 5,Pais 5
95,CLI95,Cliente 95,Apellido 95,Direccion 95,Ciudad 6,Pais 1
96,CLI96,Cliente 96,Apellido 96,Direccion 96,Ciudad 7,Pais 2
97,CLI97,Cliente 97,Apellido 97,Direccion 97,Ciudad 8,Pais 3
98,CLI98,Cliente 98,Apellido 98,Direccion 98,Ciudad 9,Pais 4
99,CLI99,Cliente 99,Apellido 99,Direccion 99,Ciudad 10,Pais 5
100,CLI100,Cliente 100,Apellido 100,Direccion 100,Ciudad 1,Pais 1
