IdVendedor,CodigoVendedor,NombreVendedor,ApellidoVendedor,DireccionVendedor,CiudadVendedor,PaisVendedor
1,VEND1,Vendedor 1,Apellido 1,Direccion 1,Ciudad 2,Pais 2
2,VEND2,Vendedor 2,Apellido 2,Direccion 2,Ciudad 3,Pais 3
3,VEND3,Vendedor 3,Apellido 3,Direccion 3,Ciudad 4,Pais 4
4,VEND4,Vendedor 4,Apellido 4,Direccion 4,Ciudad 5,Pais 5
5,VEND5,Vendedor 5,Apellido 5,Direccion 5,Ciudad 6,Pais 1
6,VEND6,Vendedor 6,Apellido 6,Direccion 6,Ciudad 7,Pais 2
7,VEND7,Vendedor 7,Apellido 7,Direccion 7,Ciudad 8,Pais 3
8,VEND8,Vendedor 8,Apellido 8,Direccion 8,Ciudad 9,Pais 4
9,VEND9,Vendedor 9,Apellido 9,Direccion 9,Ciudad 10,Pais 5
10,VEND10,Vendedor 10,Apellido 10,Direccion 10,Ciudad 1,Pais 1
11,VEND11,Vendedor 11,Apellido 11,Direccion 11,Ciudad 2,Pais 2
12,VEND12,Vendedor 12,Apellido 12,Direccion 12,Ciudad 3,Pais 3
13,VEND13,Vendedor 13,Apellido 13,Direccion 13,Ciudad 4,Pais 4
14,VEND14,Vendedor 14,Apellido 14,Direccion 14,Ciudad 5,Pais 5
15,VEND15,Vendedor 15,Apellido 15,Direccion 15,Ciudad 6,Pais 1
16,VEND16,Vendedor 16,Apellido 16,Direccion 16,Ciudad 7,Pais 2
17,VEND17,Vendedor 17,Apellido 17,Direccion 17,Ciudad 8,Pais 3
18,VEND18,Vendedor 18,Apellido 18,Direccion 18,Ciudad 9,Pais 4
19,VEND19,Vendedor 19,Apellido 19,Direccion 19,Ciudad 10,Pais 5
20,VEND20,Vendedor 20,Apellido 20,Direccion 20,Ciudad 1,Pais 1
21,VEND21,Vendedor 21,Apellido 21,Direccion 21,Ciudad 2,Pais 2
22,VEND22,Vendedor 22,Apellido 22,Direccion 22,Ciudad 3,Pais 3
23,VEND23,Vendedor 23,Apellido 23,Direccion 23,Ciudad 4,Pais 4
24,VEND24,Vendedor 24,Apellido 24,Direccion 24,Ciudad 5,Pais 5
25,VEND25,Vendedor 25,Apellido 25,Direccion 25,Ciudad 6,Pais 1
26,VEND26,Vendedor 26,Apellido 26,Direccion 26,Ciudad 7,Pais 2
27,VEND27,Vendedor 27,Apellido 27,Direccion 27,Ciudad 8,Pais 3
28,VEND28,Vendedor 28,Apellido 28,Direccion 28,Ciudad 9,Pais 4
29,VEND29,Vendedor 29,Apellido 29,Direccion 29,Ciudad 10,Pais 5
30,VEND30,Vendedor 30,Apellido 30,Direccion 30,Ciudad 1,Pais 1
